,"This is a citation overview for a set of 41 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 41 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,679,138,149,287,110,1076
2009,"Mice with hyperghrelinemia are hyperphagic and glucose intolerant and have reduced leptin sensitivity","Bewick G.A., Kent A., Campbell D., Patterson M., Ghatei M.A., Bloom S.R., Gardiner J.V.",00121797,"Diabetes",58, 4,0,0,0,0,1,1
2008,"Overexpression of CART in the PVN increases food intake and weight gain in rats","Smith K.L., Gardiner J.V., Ward H.L., Kong W.M., Murphy K.G., Martin N.M., Ghatei M.A., Bloom S.R.",19307381,"Obesity",16, 10,0,0,0,0,1,1
2008,"Gut hormones: A weight off your mind","Gardiner J.V., Jayasena C.N., Bloom S.R.",09538194,"Journal of Neuroendocrinology",20, 6,0,0,0,0,0,0
2008,"Ghrelin Gets Its GOAT","Gardiner J., Bloom S.",15504131,"Cell Metabolism",7, 3,0,0,0,0,1,1
2008,"Co-administration of SR141716 with peptide YY3-36 or oxyntomodulin has additive effects on food intake in mice","White N.E., Dhillo W.S., Liu Y.-L., Small C.J., Kennett G.A., Gardiner J.V., Ghatei M.A., Bloom S.R.",14628902,"Diabetes, Obesity and Metabolism",10, 2,0,0,0,0,2,2
2007,"Hypothalamic mapping of orexigenic action and Fos-like immunoreactivity following relaxin-3 administration in male Wistar rats","McGowan B.M., Ghatei M.A., Bloom S.R., Stanley S.A., White N.E., Spangeus A., Patterson M., Thompson E.L., Smith K.L., Donovan J., Gardiner J.V.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",292, 3,0,0,2,2,4,6
2006,"Effects of acute and chronic relaxin-3 on food intake and energy expenditure in rats","McGowan B.M., Small C.J., Gardiner J.V., Ghatei M.A., Bloom S.R., Stanley S.A., Smith K.L., Minnion J.S., Donovan J., Thompson E.L., Patterson M., Connolly M.M., Abbott C.R.",01670115,"Regulatory Peptides",136, 1-3,0,4,3,7,11,18
2006,"Neuropeptide S stimulates the hypothalamo-pituitary-adrenal axis and inhibits food intake","Smith K.L., Patterson M., Dhillo W.S., Patel S.R., Semjonous N.M., Gardiner J.V., Ghatei M.A., Bloom S.R.",00137227,"Endocrinology",147, 7,2,5,13,18,13,33
2006,"Ghrelin stimulates insulin-induced glucose uptake in adipocytes","Patel A.D., Stanley S.A., Murphy K.G., Frost G.S., Gardiner J.V., Kent A.S., White N.E., Ghatei M.A., Bloom S.R.",01670115,"Regulatory Peptides",134, 1,4,8,7,15,6,25
2006,"Attenuated peptide YY release in obese subjects is associated with reduced satiety","Le Roux C.W., Ghatei M.A., Bloom S.R., Batterham R.L., Aylwin S.J.B., Patterson M., Borg C.M., Wynne K.J., Kent A., Vincent R.P., Gardiner J.",00137227,"Endocrinology",147, 1,18,25,31,56,15,89
2005,"Implantation of fibre encapsulated RIN 1056a cells transfected with NPY cDNA into the lateral ventricle of rats alters body weight","Mahmoodi M., Gardiner J.V., Asadi Karam G.R., Khaksari M., Murphy K.G., Ghatei M.A., Bloom S.R.",01670115,"Regulatory Peptides",132, 1-3,0,0,0,0,0,0
2005,"Agouti related protein (AgRP) is upregulated in Cushing's syndrome","Dhillo W.S., Gardiner J.V., Castle L., Bewick C.A., Smith K.L., Meeran K., Todd J.F., Ghatei M.A., Bloom S.R.",09477349,"Experimental and Clinical Endocrinology and Diabetes",113, 10,0,3,0,3,0,3
2005,"Post-embryonic ablation of AgRP neurons in mice leads to a lean, hypophagic phenotype","Bewick G.A., Gardiner J.V., Dhillo W.S., Kent A.S., Webster Z., Ghatei M.A., Bloom S.R.",08926638,"FASEB Journal",19, 12,17,16,13,29,5,51
2005,"Central relaxin-3 administration causes hyperphagia in male wistar rats","McGowan B.M.C., Bloom S.R., Stanley S.A., Smith K.L., White N.E., Connolly M.M., Thompson E.L., Gardiner J.V., Murphy K.G., Ghatei M.A.",00137227,"Endocrinology",146, 8,7,6,9,15,11,33
2005,"Hypothalamic cocaine- and amphetamine-regulated transcript (CART) and agouti-related protein (AgRP) neurons coexpress the NOP1 receptor and nociceptin alters CART and AgRP release","Bewick G.A., Dhillo W.S., Darch S.J., Murphy K.G., Gardiner J.V., Jethwa P.H., Wing M.K., Ghatei M.A., Bloom S.R.",00137227,"Endocrinology",146, 8,5,1,4,5,4,14
2005,"AAV mediated expression of anti-sense neuropeptide Y cRNA in the arcuate nucleus of rats results in decreased weight gain and food intake","Gardiner J.V., Kong W.M., Ward H., Murphy K.G., Dhillo W.S., Bloom S.R.",0006291X,"Biochemical and Biophysical Research Communications",327, 4,5,3,3,6,1,12
2004,"Abnormalities of the hypothalamo-pituitary-thyroid axis in the pro-opiomelanocortin deficient mouse","Martin N.M., Small C.J., Sajedi A., Liao X.H., Weiss R.E., Gardiner J.V., Ghatei M.A., Bloom S.R.",01670115,"Regulatory Peptides",122, 3,1,2,4,6,0,7
2004,"Triiodothyronine stimulates food intake via the hypothalamic ventromedial nucleus independent of changes in energy expenditure","Kong W.M., Bloom S.R., Martin N.M., Smith K.L., Gardiner J.V., Connoley I.P., Stephens D.A., Dhillo W.S., Ghatei M.A., Small C.J.",00137227,"Endocrinology",145, 11,15,10,14,24,5,44
2004,"Regulation of rat pituitary cocaine- and amphetamine-regulated transcript (CART) by CRH and glucocorticoids","Stanley S.A., Murphy K.G., Bewick G.A., Kong W.M., Opacka-Juffry J., Gardiner J.V., Ghatei M., Small C.J., Bloom S.R.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",287, 3,13,3,4,7,2,22
2004,"Investigation of the chronic effects of NPY by subcutaneous implantation of 6-23 cells producing NPY in WAG rats","Mahmoodi M., Gardiner J.V., Ghatei M.A., Asadikaram G., Bloom S.R.",00099120,"Clinical Biochemistry",37, 3,1,0,0,0,0,1
2004,"Galanin-Like Peptide Stimulates the Release of Gonadotropin-Releasing Hormone in Vitro and May Mediate the Effects of Leptin on the Hypothalamo-Pituitary-Gonadal Axis","Seth A., Stanley S., Jethwa P., Gardiner J., Ghatei M., Bloom S.",00137227,"Endocrinology",145, 2,17,1,4,5,1,23
2004,"The demonstration of polyethylenimine mediated gene transfer into the rodent hypothalamus results in persistent over-expression and phenotypic change","Mahmoodi M., Gardiner J.V., Lotfi A.S., Bloom S.R.",1028852X,"Iranian Biomedical Journal",8, 1,0,0,0,0,0,0
2003,"A role for arcuate cocaine and amphetamine-regulated transcript in hyperphagia, thermogenesis, and cold adaptation.","Kong W.M., Bloom S., Stanley S., Gardiner J., Abbott C., Murphy K., Seth A., Connoley I., Ghatei M., Stephens D.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",17, 12,21,6,7,13,4,38
2003,"?-MSH increases intracellular cAMP accumulation and GnRH release in vitro and LH release in vivo","Stanley S.A., Davies S., Small C.J., Gardiner J.V., Ghatei M.A., Smith D.M., Bloom S.R.",00145793,"FEBS Letters",543, 1-3,2,1,1,2,1,5
2003,"Paraventricular nucleus administration of calcitonin gene-related peptide inhibits food intake and stimulates the hypothalamo-pituitary-adrenal axis","Dhillo W.S., Bloom S.R., Small C.J., Jethwa P.H., Russell S.H., Gardiner J.V., Bewick G.A., Seth A., Murphy K.G., Ghatei M.A.",00137227,"Endocrinology",144, 4,15,1,3,4,4,23
2003,"Distribution of fluorescence following injection of recombinant adeno-associated virus encoding green fluorescent protein into the paraventricular nucleus","Ward H., Gardiner J., Kong W.M., Murphy K., Bloom S.",00283835,"Neuroendocrinology",77, 2,3,1,2,3,0,6
2003,"Agouti-related protein has an inhibitory paracrine role in the rat adrenal gland","Dhillo W.S., Bloom S.R., Small C.J., Gardiner J.V., Bewick G.A., Whitworth E.J., Jethwa P.H., Seal L.J., Ghatei M.A., Hinson J.P.",0006291X,"Biochemical and Biophysical Research Communications",301, 1,21,6,1,7,2,30
2002,"Leptin prevents the fall in plasma osteocalcin during starvation in male mice","Goldstone A.P., Bloom S.R., Howard J.K., Lord G.M., Ghatei M.A., Gardiner J.V., Wang Z.L., Wang R.M., Girgis S.I., Bailey C.J.",0006291X,"Biochemical and Biophysical Research Communications",295, 2,11,1,1,2,0,13
2002,"Acute stimulation of glucose uptake by leptin in L6 muscle cells","Bates S.H., Gardiner J.V., Jones R.B., Bloom S.R., Bailey C.J.",00185043,"Hormone and Metabolic Research",34, 3,13,2,3,5,3,21
2001,"Orexins: Effects on behavior and localisation of orexin receptor 2 messenger ribonucleic acid in the rat brainstem","Sunter D., Morgan I., Edwards C.MarkB., Dakin C.L., Murphy K.G., Gardiner J., Taheri S., Rayes E., Bloom S.R.",00068993,"Brain Research",907, 1-2,19,4,2,6,0,25
2001,"Orexin A immunoreactivity and preproorexin mRNA in the brain of Zucker and WKY rats","Taheri S., Gardiner J., Hafizi S., Murphy K., Dakin C., Seal L., Small C., Ghatei M., Bloom S.",09594965,"NeuroReport",12, 3,13,3,0,3,0,16
2000,"Characterization and distribution of prolactin releasing peptide (PrRP) binding sites in the rat - Evidence for a novel binding site subtype in cardiac and skeletal muscle","Satoh F., Smith D.M., Gardiner J.V., Mahmoodi M., Murphy K.G., Ghatei M.A., Bloom S.R.",00071188,"British Journal of Pharmacology",129, 8,11,0,1,1,0,12
