,"Author: Kelleher, Dr William Peter; Kelleher, Peter",,,,,,,,,,,,
,,,,,,,,,,,,,
,This is a citation overview for a set of 45 documents.,,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 16 (Of the 45 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,468,107,111,29,247,0,715
2009,AIDS vaccines: Where are we?,Kelleher P.,17512433,Expert Review of Clinical Pharmacology,2,6,0,0,0,0,0,0,0
2009,Multiplex immune serum biomarker profiling in sarcoidosis and systemic sclerosis,"Beirne P., Kelleher P., Pantelidis P., Charles P., Wells A.U., Abraham D.J., Denton C.P., Welsh K.I., Shah P.L., Du Boise R.M.",9031936,European Respiratory Journal,34,6,0,5,8,0,13,0,13
2009,Cytokine changes during rituximab therapy in HIV-associated multicentric Castleman disease,"Bower M., Veraitch O., Szydlo R., Charles P., Kelleher P., Gazzard B., Nelson M., Stebbing J.",64971,Blood,113,19,0,5,8,1,14,0,14
2009,Monocyte-derived dendritic cells from HIV type 1-Infected individuals show reduced ability to stimulate T cells and have altered production of interleukin (IL)-12 and IL-10,"Buisson S., Benlahrech A., Gazzard B., Gotch F., Kelleher P., Patterson S.",221899,Journal of Infectious Diseases,199,12,1,0,5,2,7,0,8
2008,Immune activation and viraemia: Reciprocal interactions in disease pathogenesis,Kelleher P.,14620308,Journal of HIV Therapy,13,4,0,1,0,0,1,0,1
2008,The successful treatment of haemophagocytic syndrome in patients with human immunodeficiency virus-associated multi-centric Castleman's disease,"Stebbing J., Ngan S., Ibrahim H., Charles P., Nelson M., Kelleher P., Naresh K.N., Bower M.",99104,Clinical and Experimental Immunology,154,3,1,3,2,1,6,0,7
2008,Peanut-specific B and T cell responses are correlated in peanut-allergic but not in non-allergic individuals,"Turcanu V., Winterbotham M., Kelleher P., Lack G.",9547894,Clinical and Experimental Allergy,38,7,3,5,3,0,8,0,11
2008,CD38 expression on CD8 T cells has a weak association with CD4 T-cell recovery and is a poor marker of viral replication in HIV-1-infected patients on antiretroviral therapy,"Steel A., John L., Shamji M.H., Henderson D.C., Gotch F.M., Gazzard B.G., Kelleher P.",14642662,HIV Medicine,9,2,3,2,2,0,4,0,7
2008,Early changes in adipokine levels and baseline limb fat may predict HIV lipoatrophy over 2 years following initiation of antiretroviral therapy,"Calmy A., Carey D., Mallon P.W.G., Wand H., Law M., Cooper D.A., Carr A., Yeni P., Aboulker J.-P., Antunes F., Babiker A., Becker M., Boukli N., Brun-Vezinet F., Carey D., Churchill D., Conway B., Chazallon C., Darbyshire J., De Wit S., Dusak B., Emery S., Flepp M., Floridia M., Gatell J., Girard P.-M., Goodall R.L., Hemmer R., Hooker M., Law M., Loveday C., Lundgren J., Manion D., Mulcahy F., Orani A., Pharo C., Ristola M., Salzberger B., Sandstrom E., Schechter M., Schnittman S., Seligmann M., Staszewski S., Stek M., Verbiest W., Weber J., Lee W., Phipps S., Sharkey T., Dimayuga R., Jones M., Jutha S., Kraus D., Zastre B., Dragsted U., Gronholdt A., Ludgren J., Mollerup D., Skinnes L., Kahi S., Leger L., Meiffredy V., Rodier A.-S., Saidi Y., Cruceta A., Lenz B., Rochon J., Schade-Brittinger C., Wittenberg M., Wolf H., Bucciardini R., Floridia M., Fragola V., Galluzzo C.M., Germinario E., Guidi M., Innocenti F., Massella M., Mattei A., Mirra M., Paoloni M.I., Polizzi C., Pirillo M., Vella S., Flepp M., Gremlich E., Mosimann A., Hudson F., Johnson D., Kelleher P., Poland A., Taylor K., Wait J., Withnall R., Mallon P., Norris R., Rafferty M., Lacey Mark, Chisholm D., Samaras K., Feneley M.",14642662,HIV Medicine,9,2,1,2,1,0,3,0,4
2007,Brief communication: Rituximab in HIV-associated multicentric Castleman disease,"Bower M., Nelson M., Gazzard B., Stebbing J., Kelleher P., Powles T., Williams S., Newsom Davis T., Atkins M., Montoto S., Orkin C., Webb A., Fisher M.",34819,Annals of Internal Medicine,147,12,20,14,14,8,36,0,56
2007,Tuberculosis antigen-specific immune responses can be detected using enzyme-linked immunospot technology in human immunodeficiency virus (HIV)-1 patients with advanced disease,"Clark S.A., Kelleher P., Martin S.L., Pozniak A., Steel A., Ward B., Dunning J., Henderson D.C., Nelson M., Gazzard B.",99104,Clinical and Experimental Immunology,150,2,13,13,16,3,32,0,45
