,"This is a citation overview for a set of 92 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 28 (Of the 92 documents considered for the h-Index, 28 have been cited at least 28 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1781,224,208,58,490,0,2271
2009,"Suffering and posttraumatic growth in women with systemic lupus erythematosus (SLE): A qualitative/quantitative case study","Wittmann L., Sensky T., Meder L., Michel B., Stoll T., Buchi S.",00333182,"Psychosomatics",50, 4,0,1,1,1,3,0,3
2009,"Shared decision-making reduces drug use and psychiatric severity in substance-dependent patients","Joosten E.A.G., De Jong C.A.J., De Weert-Van Oene G.H., Sensky T., Van Der Staak C.P.F.",00333190,"Psychotherapy and Psychosomatics",78, 4,1,2,7,1,10,0,11
2009,"Shared or discordant grief in couples 2-6 years after the death of their premature baby: effects on suffering and posttraumatic growth","Buchi S., Morgeli H., Schnyder U., Jenewein J., Glaser A., Fauchere J.-C., Bucher H.U., Sensky T.",00333182,"Psychosomatics",50, 2,0,1,0,0,1,0,1
2008,"Systematic review of the effects of shared decision-making on patient satisfaction, treatment adherence and health status","Joosten E.A.G., DeFuentes-Merillas L., De Weert G.H., Sensky T., Van Der Staak C.P.F., De Jong C.A.J.",00333190,"Psychotherapy and Psychosomatics",77, 4,20,20,23,7,50,0,70
2008,"Post-traumatic stress disorder in serious accidental injury: 3-Year follow-up study","Hepp U., Moergeli H., Buchi S., Bruchhaus-Steinert H., Kraemer B., Sensky T., Schnyder U.",00071250,"British Journal of Psychiatry",192, 5,6,5,3,2,10,0,16
2008,"Five-year followup of a cognitive-behavioral intervention for patients with recently-diagnosed rheumatoid arthritis: Effects on health care utilization","Sharpe L., Allard S., Sensky T.",21514658,"Arthritis Care and Research",59, 3,2,3,2,2,7,0,9
2008,"A randomized controlled trial of cognitive-behavior therapy for persistent symptoms in schizophrenia: A five-year follow-up","Turkington D., Sensky T., Scott J., Barnes T.R., Nur U., Siddle R., Hammond K., Samarasekara N., Kingdon D.",09209964,"Schizophrenia Research",98, 1-3,5,9,6,2,17,0,22
2007,"Appendix 1. Diagnostic criteria for psychosomatic research.","Sensky T., Fava G.A., Freyberger H.J., Bech P., Christodoulou G., Theorell T., Wise T.N.",00653268,"Advances in psychosomatic medicine",28, ,1,0,0,0,0,0,1
2007,"Relationship between appearance and psychological distress in rheumatic diseases.","Monaghan S.M., Sharpe L., Denton F., Levy J., Schrieber L., Sensky T.",00043591,"Arthritis and rheumatism",57, 2,2,3,4,0,7,0,9
2007,"Relationship between appearance and psychological distress in rheumatic diseases","Monaghan S.M., Sharpe L., Denton F., Levy J., Schrieber L., Sensky T.",21514658,"Arthritis Care and Research",57, 2,0,0,0,1,1,0,1
2007,"Befriending patients with medication-resistant schizophrenia: Can psychotic symptoms predict treatment response?","Samarasekera N., Kingdon D., Siddle R., O'Carroll M., Scott J.L., Sensky T., Barnes T.R.E., Turkington D.",14760835,"Psychology and Psychotherapy: Theory, Research and Practice",80, 1,1,2,2,1,5,0,6
