,"This is a citation overview for a set of 23 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 17 (Of the 23 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,860,228,174,62,464,0,1324
2009,"Heritability and demographic analyses in the large isolated population of val borbera suggest advantages in mapping complex traits genes","Traglia M., Ciullo M., Nutile T., Bosi E., Sirtori M., Mignogna G., Rubinacci A., Buetti I., Camaschella C., Petretto E., Toniolo D., Sala C., Masciullo C., Cverhova V., Lori F., Pistis G., Bione S., Gasparini P., Ulivi S.",19326203,"PLoS ONE",4, 10,0,2,7,2,11,0,11
2009,"Repeatability of published microarray gene expression analyses","Ioannidis J.P.A., Jurman G., Mangion J., Mehta T., Nitzberg M., Page G.P., Petretto E., Van Noort V., Allison D.B., Ball C.A., Coulibaly I., Cui X., Culhane A.C., Falchi M., Furlanello C., Game L.",10614036,"Nature Genetics",41, 2,15,23,31,8,62,0,77
2008,"Genome-wide co-expression analysis in multiple tissues","Grieve I.C., Dickens N.J., Pravenec M., Kren V., Hubner N., Cook S.A., Aitman T.J., Petretto E., Mangion J.",19326203,"PLoS ONE",3, 12,1,4,3,1,8,0,9
2008,"Identification of renal Cd36 as a determinant of blood pressure and risk for hypertension","Pravenec M., Zimdahl H., Zidek V., Landa V., Dunbar J., Bidani A., Griffin K., Qi N., Maxova M., Kren V., Mlejnek P., Churchill P.C., Wang J., Kurtz T.W., Churchill M.C., Viklicky O., Kazdova L., Aitman T.J., Petretto E., Hubner N., Wallace C.A.",10614036,"Nature Genetics",40, 8,9,7,9,2,18,0,27
2008,"Insight into the genetics of hypertension, a core component of the metabolic syndrome","Pravenec M., Petretto E.",13631950,"Current Opinion in Clinical Nutrition and Metabolic Care",11, 4,2,1,0,0,1,0,3
2008,"Integrated genomic approaches implicate osteoglycin (Ogn) in the regulation of left ventricular mass","Petretto E., Sarwar R., Grieve I., Lu H., Kumaran M.K., Muckett P.J., Mangion J., Schroen B., Benson M., Punjabi P.P., Prasad S.K., Pennell D.J., Kiesewetter C., Tasheva E.S., Corpuz L.M., Webb M.D., Conrad G.W., Kurtz T.W., Kren V., Fischer J., Hubner N., Pinto Y.M., Pravenec M., Aitman T.J., Cook S.A.",10614036,"Nature Genetics",40, 5,12,9,9,2,20,0,32
2008,"Adrenal gland tumorigenesis after gonadectomy in mice is a complex genetic trait driven by epistatic loci","Bernichtein S., Petretto E., Jamieson S., Goel A., Aitman T.J., Mangion J.M., Huhtaniemi I.T.",00137227,"Endocrinology",149, 2,5,8,3,3,14,0,19
2007,"A gene harvest revealing the archeology and complexity of human disease","Petretto E., Liu E.T., Aitman T.J.",10614036,"Nature Genetics",39, 11,17,1,1,1,3,0,20
2007,"FCGR3B copy number variation is associated with susceptibility to systemic, but not organ-specific, autoimmunity","Fanciulli M., Blakemore A.I.F., Froguel P., Owen C.J., Pearce S.H.S., Teixeira L., Guillevin L., Graham D.S.C., Pusey C.D., Cook H.T., Vyse T.J., Norsworthy P.J., Aitman T.J., Petretto E., Dong R., Harper L., Kamesh L., Heward J.M., Gough S.C.L., De Smith A.",10614036,"Nature Genetics",39, 6,96,49,30,9,88,0,184
2007,"No contribution of angiotensin-converting enzyme (ACE) gene variants to severe obesity: A model for comprehensive case/control and quantitative cladistic analysis of ACE in human diseases","Bell C.G., Mein C.A., Aitman T.J., Froguel P., Walley A.J., Meyre D., Petretto E., Levy-Marchal C., Hercberg S., Charles M.A., Boyle C., Weill J., Tauber M.",10184813,"European Journal of Human Genetics",15, 3,2,1,2,0,3,0,5
2006,"Heritability and tissue specificity of expression quantitative trait loci.","Petretto E., Pravenec M., Hubner N., Aitman T.J., Mangion J., Dickens N.J., Cook S.A., Kumaran M.K., Lu H., Fischer J., Maatz H., Kren V.",15537404,"PLoS genetics",2, 10,17,4,5,1,10,0,27
2006,"Heritability and tissue specificity of expression quantitative trait loci","Petretto E., Pravenec M., Hubner N., Aitman T.J., Mangion J., Dickens N.J., Cook S.A., Kumaran M.K., Lu H., Fischer J., Maatz H., Kren V.",15537390,"PLoS Genetics",2, 10,18,9,5,6,20,0,38
2006,"Reply: Normalization procedures and detection of linkage signal in genetical-genomics experiments [6]","Petretto E., Mangion J., Cook S.A., Aitman T.J., Pravenec M., Schulz H., Fischer J., Hubner N.",10614036,"Nature Genetics",38, 8,1,0,0,0,0,0,1
2006,"Integrated gene expression profiling and linkage analysis in the rat","Petretto E., Mangion J., Pravanec M., Hubner N., Aitman T.J.",09388990,"Mammalian Genome",17, 6,9,2,0,0,2,0,11
2006,"Copy number polymorphism in Fcgr3 predisposes to glomerulonephritis in rats and humans","Aitman T.J., Dong R., Vyse T.J., Norsworthy P.J., Johnson M.D., Smith J., Mangion J., Roberton-Lowe C., Marshall A.J., Petretto E., Hodges M.D., Bhangal G., Patel S.G., Sheehan-Rooney K., Duda M., Cook P.R., Evans D.J., Domin J., Flint J., Boyle J.J., Pusey C.D., Cook H.T.",00280836,"Nature",439, 7078,225,67,35,14,116,0,341
2005,"Integrated transcriptional profiling and linkage analysis for identification of genes underlying disease","Hubner N., Zidek V., Musilova A., Kren V., Causton H., Game L., Born G., Schmidt S., Muller A., Cook S.A., Kurtz T.W., Wallace C.A., Whittaker J., Pravenec M., Aitman T.J., Zimdahl H., Petretto E., Schulz H., Maciver F., Mueller M., Hummel O., Monti J.",10614036,"Nature Genetics",37, 3,226,30,21,7,58,0,284
2003,"Striking differentiation of sub-populations within a genetically homogeneous isolate (Ogliastra) in Sardinia as revealed by mtDNA analysis","Fraumene C., Petretto E., Angius A., Pirastu M.",03406717,"Human Genetics",114, 1,18,2,3,3,8,0,26
2002,"A New Essential Hypertension Susceptibility Locus on Chromosome 2p24-p25, Detected by Genomewide Search","Angius A., Petretto E., Maestrale G.B., Fprabosco P., Casu G., Piras D., Fanciulli M., Falchi M., Melis P.M., Palermo M., Pirastu M.",00029297,"American Journal of Human Genetics",71, 4,54,2,0,1,3,0,57
2002,"Not all isolates are equal: Linkage disequilibrium analysis on Xq13.3 reveals different patterns in Sardinian sub-populations","Angius A., Pirastu M., Bebbere D., Petretto E., Falchi M., Forabosco P., Maestrale G.B., Casu G., Persico I., Melis P.M.",03406717,"Human Genetics",111, 1,27,1,1,0,2,0,29
2002,"The effect of reactor geometry on frontal polymerization spin modes","Pojman J.A., Masere J., Petretto E., Rustici M., Huh D.-S., Kim M.S., Volpert V.",10541500,"Chaos",12, 1,18,0,3,2,5,0,23
2001,"Archival, demographic and genetic studies define a Sardinian sub-isolate as a suitable model for mapping complex traits","Angius A., Pirastu M., Melis P.M., Morelli L., Petretto E., Casu G., Maestrale G.B., Fraumene C., Bebbere D., Forabosco P.",03406717,"Human Genetics",109, 2,38,3,2,0,5,0,43
2001,"Identification of a new candidate locus for uric acid nephrolithiasis","Ombra M.N., Melis P., Pirastu M., Forabosco P., Casula S., Angius A., Maestrale G., Petretto E., Casu G., Colussi G., Usai E.",00029297,"American Journal of Human Genetics",68, 5,23,1,2,0,3,0,26
1999,"Transition Scenarios during the Evolution of the Belousov-Zhabotinsky Reaction in an Unstirred Batch Reactor","Rustici M., Caravati C., Petretto E., Branca M., Marchettini N.",10895639,"Journal of Physical Chemistry A",103, 33,27,2,2,0,4,0,31
