,"This is a citation overview for a set of 47 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 22 (Of the 47 documents considered for the h-Index, 22 have been cited at least 22 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1556,202,216,418,134,2108
2008,"Splenomegaly and modified erythropoiesis in KLF13-/- mice","Gordon A.R., Outram S.V., Keramatipour M., Goddard C.A., Colledge W.H., Metcalfe J.C., Hager-Theodorides A.L., Crompton T., Kemp P.R.",00219258,"Journal of Biological Chemistry",283, 18,0,0,1,1,1,2
2005,"Visualization of alternative splicing in vivo","Kemp P.R., Ellis P.D., Smith C.W.J.",10462023,"Methods",37, 4,1,2,0,2,0,3
2005,"Cytoplasmic YY1 is associated with increased smooth muscle-specific gene expression: Implications for neonatal pulmonary hypertension","Favot L., Hall S.M., Haworth S.G., Kemp P.R.",00029440,"American Journal of Pathology",167, 6,2,2,2,4,1,7
2005,"Simulating the dynamics of primary productivity of a Sonoran ecosystem: Model parameterization and validation","Shen W., Wu J., Kemp P.R., Reynolds J.F., Grimm N.B.",03043800,"Ecological Modelling",189, 1-2,1,1,5,6,3,10
2005,"Overexpression of a family of RPEL proteins modifies cell shape","Favot L., Gillingwater M., Scott C., Kemp P.R.",00145793,"FEBS Letters",579, 1,0,0,0,0,1,1
2004,"Modifying the 'pulse-reserve' paradigm for deserts of North America: Precipitation pulses, soil water, and plant responses","Reynolds J.F., Kemp P.R., Ogle K., Fernandez R.J.",00298549,"Oecologia",141, 2,29,16,27,43,19,91
2004,"Regulated tissue-specific alternative splicing of enhanced green fluorescent protein transgenes conferred by ?-tropomyosin regulatory elements in transgenic mice","Ellis P.D., Smith C.W.J., Kemp P.",00219258,"Journal of Biological Chemistry",279, 35,8,2,3,5,1,14
2003,"Selective modulation of the SM22? promoter by the binding of BTEB3 (basal transcription element-binding protein 3) to TGGG repeats","Martin K.M., Ellis P.D., Metcalfe J.C., Kemp P.R.",02646021,"Biochemical Journal",375, 2,4,1,2,3,0,7
2003,"Adhesion of endothelial cells to NOV is mediated by the integrins ?v?3 and ?5?1","Ellis P.D., Metcalfe J.C., Hyvonen M., Kemp P.R.",10181172,"Journal of Vascular Research",40, 3,8,2,2,4,1,13
2003,"A transforming growth factor?1 signal peptide variant increases secretion in vitro and is associated with increased incidence of invasive breast cancer","Dunning A.M., Kataja V., Pharoah P.D.P., Easton D.F., Ponder B.A.J., Metcalfe J.C., Ellis P.D., McBride S., Kirschenlohr H.L., Healey C.S., Kemp P.R., Luben R.N., Chang-Claude J., Mannermaa A.",00085472,"Cancer Research",63, 10,51,23,16,39,14,104
2003,"A novel polypyrimidine tract-binding protein paralog expressed in smooth muscle cells","Gooding C., Kemp P., Smith C.W.J.",00219258,"Journal of Biological Chemistry",278, 17,16,4,2,6,1,23
2003,"Decomposition of leaf and root litter of Chihuahuan Desert shrubs: Effects of three years of summer drought","Kemp P.R., Reynolds J.F., Virginia R.A., Whitford W.G.",01401963,"Journal of Arid Environments",53, 1,9,4,5,9,4,22
2002,"Increased actin polymerization reduces the inhibition of serum response factor activity by Yin Yang 1","Ellis P.D., Martin K.M., Rickman C., Metcalfe J.C., Kemp P.R.",02646021,"Biochemical Journal",364, 2,11,2,3,5,0,16
2001,"Effects of premature stimulation on HERG K+ channels","Yu Lu M., Mahaut-Smith P., Varghese A., Huang C.L.-H., Kemp P.R., Vandenberg J.I.",00223751,"Journal of Physiology",537, 3,24,6,5,11,3,38
2001,"Expression of Klf9 and Klf13 in mouse development","Martin K.M., Metcalfe J.C., Kemp P.R.",09254773,"Mechanisms of Development",103, 1-2,5,2,3,5,0,10
2001,"Inhibiting mutations in the transforming growth factor ? type 2 receptor in recurrent human breast cancer","Lucke C.D., Philpott A., Metcalfe J.C., Thompson A.M., Hughes-Davies L., Kemp P.R., Hesketh R.",00085472,"Cancer Research",61, 2,20,5,3,8,3,31
2000,"Stretch-induced alternative splicing of serum response factor promotes bronchial myogenesis and is defective in lung hypoplasia","Yang Y., Beqaj S., Kemp P., Ariel I., Schuger L.",00219738,"Journal of Clinical Investigation",106, 11,34,2,8,10,5,49
2000,"Four isoforms of serum response factor that increase or inhibit smoothmuscle-specific promoter activity","Kemp P.R., Metcalfe J.C.",02646021,"Biochemical Journal",345, 3,38,2,2,4,0,42
