,"Author: Croucher, Martin J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 10 (Of the 23 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,859,61,38,99,38,996
2008,"Additive neuroprotection by metabotropic glutamate receptor subtype-selective ligands in a rat Parkinson's model","Vernon A.C., Croucher M.J., Dexter D.T.",09594965,"NeuroReport",19, 4,0,0,0,0,0,0
2007,"Subtype selective antagonism of substantia nigra pars compacta Group I metabotropic glutamate receptors protects the nigrostriatal system against 6-hydroxydopamine toxicity in vivo","Vernon A.C., Zbarsky V., Datla K.P., Croucher M.J., Dexter D.T.",00223042,"Journal of Neurochemistry",103, 3,0,0,2,2,1,3
2007,"Selective activation of group III metabotropic glutamate receptors by L-(+)-2-amino-4-phosphonobutryic acid protects the nigrostriatal system against 6-hydroxydopamine toxicity in vivo","Vernon A.C., Zbarsky V., Datla K.P., Dexter D.T., Croucher M.J.",00223565,"Journal of Pharmacology and Experimental Therapeutics",320, 1,0,1,1,2,2,4
2005,"Role of group II metabotropic glutamate receptors in the modulation of cortical excitatory amino acid release by commonly utilised antiepileptic drugs","Lee J.J., Croucher M.J.",10870695,"Research Communications in Biological Psychology, Psychiatry and Neurosciences",30-31, ,0,0,0,0,0,0
2005,"Neuroprotective effects of metabotropic glutamate receptor ligands in a 6-hydroxydopamine rodent model of Parkinson's disease","Vernon A.C., Palmer S., Datla K.P., Zbarsky V., Croucher M.J., Dexter D.T.",0953816X,"European Journal of Neuroscience",22, 7,3,10,2,12,2,17
2003,"Up-regulation of soluble amyloid precursor protein fragment secretion in the rat retina in vivo by metabotropic glutamate receptor stimulation.","Croucher M.J., Patel H., Walsh D.T., Moncaster J.A., Gentleman S.M., Fazal A., Jen L.S.",09594965,"Neuroreport",14, 17,2,0,0,0,0,2
2003,"Characterisation of the actions of group I metabotropic glutamate receptor subtype selective ligands on excitatory amino acid release and sodium-dependent re-uptake in rat cerebrocortical minislices","Fazal A., Parker F., Palmer A.M., Croucher M.J.",00223042,"Journal of Neurochemistry",86, 6,9,5,1,6,0,15
2003,"Anticonvulsant dicarboxyphenylglycines differentially modulate excitatory amino acid release in the rat cerebral cortex","Lee J.J., Jane D.E., Croucher M.J.",00068993,"Brain Research",977, 1,3,1,1,2,0,5
2003,"Actions of Group I and Group II metabotropic glutamate receptor ligands on 5-hydroxytryptamine release in the rat cerebral cortex in vivo: Differential roles in the regulation of central serotonergic neurotransmission","Lee J.J., Croucher M.J.",03064522,"Neuroscience",117, 3,3,2,2,4,0,7
2003,"Comparison of human recombinant adenosine A2B receptor function assessed by Fluo-3-AM fluorometry and microphysiometry","Patel H., Porter R.H.P., Palmer A.M., Croucher M.J.",00071188,"British Journal of Pharmacology",138, 4,4,0,0,0,0,4
2001,"Glutamate release inhibiting properties of the novel mGlu5 receptor antagonist 2-methyl-6-(phenylethynyl)-pyridine (MPEP): Complementary in vitro and in vivo evidence","Thomas L.S., Jane D.E., Gasparini F., Croucher M.J.",00283908,"Neuropharmacology",41, 4,26,4,4,8,1,35
2001,"Endogenous sulphur-containing amino acids: Potent agonists at presynaptic metabotropic glutamate autoreceptors in the rat central nervous system","Croucher M.J., Thomas L.S., Ahmadi H., Lawrence V., Harris J.R.",00071188,"British Journal of Pharmacology",133, 6,11,0,0,0,1,12
2001,"Presynaptic ?-amino-3-hydroxy-5-methyl-4-isoxazole propionate receptor-mediated stimulation of glutamate and GABA release in the rat striatum in vivo: A dual-label microdialysis study","Patel D.R., Young A.M.J., Croucher M.J.",03064522,"Neuroscience",102, 1,21,2,1,3,0,24
2000,"Metabotropic glutamate autoreceptors of the mGlu5 subtype positively modulate neuronal glutamate release in the rat forebrain in vitro","Thomas L.S., Jane D.E., R. Harris J., Croucher M.J.",00283908,"Neuropharmacology",39, 9,25,4,4,8,1,34
1998,"Erratum: Specific group II metabotropic glutamate receptor activation inhibits the development of kindled epilepsy in rats (Brain Research (1998) 787 (286-291) S000689939701500X)","Attwell P.J.E., Koumentaki A., Abdul-Ghani A.-S., Croucher M.J., Bradford H.F.",00068993,"Brain Research",806, 2,1,0,0,0,0,1
1998,"Anticonvulsant and glutamate release-inhibiting properties of the highly potent metabotropic glutamate receptor agonist (2S,2'R,3'R)-2-(2',3'- dicarboxycyclopropyl)glycine (DCG-IV)","Attwell P.J.E., Singh Kent N., Jane D.E., Croucher M.J., Bradford H.F.",00068993,"Brain Research",805, 1-2,27,3,2,5,1,33
1998,"Specific group II metabotropic glutamate receptor activation inhibits the development of kindled epilepsy in rats","Attwell P.J.E., Koumentaki A., Croucher M.J., Bradford H.F.",00068993,"Brain Research",787, 2,28,3,3,6,3,37
1997,"Evidence for a role of presynaptic AMPA receptors in the control of neuronal glutamate release in the rat forebrain","Patel D.R., Croucher M.J.",00142999,"European Journal of Pharmacology",332, 2,30,1,2,3,0,33
1997,"Anti-epileptogenic and anticonvulsant activity of L-2-amino-4-phosphonobutyrate, a presynaptic glutamate receptor agonist","Abdul-Ghani A.-S., Attwell P.J.E., Kent N.S., Bradford H.F., Croucher M.J., Jane D.E.",00068993,"Brain Research",755, 2,50,1,1,2,2,54
1997,"The effects of focal N-methyl-D-aspartate pretreatment on the parameters of amygdaloid electrical kindling","Croucher M.J., Ruffle K.L., Bradford H.F.",00142999,"European Journal of Pharmacology",319, 2-3,5,1,0,1,0,6
1996,"A role for presynaptic AMPA receptors in the enhancement of neuronal glutamate release by kainic acid","Patel D.R., Croucher M.J.",03005127,"Biochemical Society Transactions",24, 3,1,0,0,0,0,1
1996,"Characterisation of N-methyl-D-aspartate (NMDA)-induced kindling","Croucher M.J., Cotterell K.L., Bradford H.F.",03005127,"Biochemical Society Transactions",24, 2,1,0,0,0,0,1
1996,"Actions of the anticonvulsant agent 2-amino-4-phosphonobutyrate on the release of [3H]D-aspartate from rat forebrain slices","Sundaralingam J., Patel D.R., Croucher M.J.",03005127,"Biochemical Society Transactions",24, 2,0,0,0,0,0,0
