,"This is a citation overview for a set of 65 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 20 (Of the 65 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2137,175,212,56,443,0,2580
2009,"Impact of HLA in mother and child on disease progression of pediatric human immunodeficiency virus type 1 infection","Thobakgale C.F., Prendergast A., Crawford H., Mkhwanazi N., Ramduth D., Reddy S., Molina C., Mncube Z., Leslie A., Prado J., Chonco F., Mphatshwe W., Tudor-Williams G., Jeena P., Blanckenberg N., Dong K., Kiepiela P., Coovadia H., Ndung'u T., Walker B.D., Goulder P.J.R.",0022538X,"Journal of Virology",83, 19,0,8,6,0,14,0,14
2009,"Young people in the United Kingdom and Ireland with perinatally acquired HIV: The pediatric legacy for adult services","Foster C., Judd A., Tookey P., Tudor-Williams G., Dunn D., Shingadia D., Butler K., Sharland M., Gibb D., Lyall H.",10872914,"AIDS Patient Care and STDs",23, 3,2,5,10,3,18,0,20
2008,"Early virological suppression with three-class antiretroviral therapy in HIV-infected African infants","Prendergast A., Goulder P., Mphatswe W., Tudor-Williams G., Rakgotho M., Pillay V., Thobakgale C., McCarthy N., Morris L., Walker B.D.",02699370,"AIDS",22, 11,8,4,10,2,16,0,24
2008,"Presentation, diagnosis and management of tuberculosis in HIV-infected children in the UK","Cohen J.M., Whittaker E., Walters S., Lyall H., Tudor-Williams G., Kampmann B.",14642662,"HIV Medicine",9, 5,3,0,4,0,4,0,7
2008,"Detection of HIV type 1 gag-specific CD4+ T cell responses in acutely infected infants","Ramduth D., Cengimbo A., Prendergast A., Tudor-Williams G., Dong K., Jeena P., Coovadia H.M., Day C.L., Kiepiela P., Goulder P.J.R., Walker B.D., Thobakgale C.F., Mkhwanazi N.P., De Pierres C., Reddy S., Van Der Stok M., Mncube Z., Mphatswe W., Blanckenberg N.",08892229,"AIDS Research and Human Retroviruses",24, 2,1,0,1,0,1,0,2
2008,"Infant HIV infection despite ""universal"" antenatal testing","Struik S.S., Tudor-Williams G., Taylor G.P., Portsmouth S.D., Foster C.J., Walsh C., Hanley C., Walters S., Smith J.H., Lyall H.",00039888,"Archives of Disease in Childhood",93, 1,1,1,1,1,3,0,4
