,"Author: Holmes, Alison H.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 11 (Of the 38 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,479,70,76,146,68,693
2008,"Is health care getting safer?","Vincent C., Aylin P., Franklin B.D., Holmes A., Iskander S., Jacklin A., Moorthy K.",09598146,"BMJ",337, 7680,0,0,0,0,4,4
2008,"Charging systems for migrants in primary care: The experiences of family doctors in a high-migrant area of London","Hargreaves S., Holmes A.H., Saxena S., Le Feuvre P., Farah W., Shafi G., Chaudry J., Khan H., Friedland J.S.",11951982,"Journal of Travel Medicine",15, 1,0,0,0,0,1,1
2007,"Impact on and use of an inner-city London Infectious Diseases Department by international migrants: A questionnaire survey","Cooke G., Hargreaves S., Natkunarajah J., Sandhu G., Dhasmana D., Eliahoo J., Holmes A., Friedland J.S.",14726963,"BMC Health Services Research",7, ,0,0,1,1,2,3
2007,"The missing care bundle: antibiotic prescribing in hospitals","Cooke F.J., Holmes A.H.",09248579,"International Journal of Antimicrobial Agents",30, 1,0,1,3,4,7,11
2007,"Can organisational change reduce hospital acquired infections?","Holmes A.H.",01956701,"Journal of Hospital Infection",65, 2,0,0,2,2,0,2
2006,"Impact on and use of health services by international migrants: Questionnaire survey of inner city London A&E attenders","Hargreaves S., Friedland J.S., Gothard P., Saxena S., Millington H., Eliahoo J., Le Feuvre P., Holmes A.",14726963,"BMC Health Services Research",6, ,0,1,1,2,0,2
2006,"Reducing dialysis associated bacteraemia, and recommendations for surveillance in the United Kingdom: Prospective study","George A., Tokars J.I., Clutterbuck E.J., Bamford K.B., Pusey C., Holmes A.H.",09598146,"British Medical Journal",332, 7555,1,1,3,4,3,8
2006,"A new approach to treatment of resistant gram-positive infections: Potential impact of targeted IV to oral switch on lenght of stay","Desai M., Franklin B.D., Holmes A.H., Trust S., Richards M., Jacklin A., Bamford K.B.",14712334,"BMC Infectious Diseases",6, ,0,0,1,1,1,2
2006,"Systematic review of antimicrobial drug prescribing in hospitals","Davey P., Wilcox M., Brown E., Fenelon L., Finch R., Gould I., Holmes A., Ramsay C., Taylor E., Wiffen P.",10806040,"Emerging Infectious Diseases",12, 2,2,12,4,16,11,29
2005,"Tuberculosis.","Garner P., Holmes A., Ziganshina L.",14623846,"Clinical evidence.",, 14,0,0,0,0,0,0
2005,"Using imipenem and cilastatin during continuous renal replacement therapy","Cotton A., Franklin B.D., Brett S., Holmes A.",09281231,"Pharmacy World and Science",27, 5,0,0,0,0,2,2
2005,"Clinician-led surgical site infection surveillance of orthopaedic procedures: A UK multi-centre pilot study","Morgan M., McIlvenny G., Nixon J., Nolan J., Noone A., Reilly J., Richards J., Smyth E., Howard A., Black J., Bone F., Fry C., Harris S., Hogg S., Holmes A., Hughes S., Looker N.",01956701,"Journal of Hospital Infection",60, 3,1,1,4,5,0,6
2005,"Postgraduate training in infectious diseases: Investigating the current status in the international community","Cooke F.J., Choubina P., Holmes A.H.",14733099,"Lancet Infectious Diseases",5, 7,1,1,1,2,0,3
2005,"Developing surgical site infection surveillance within clinical governance","Hogg S., Baird N., Richards J., Hughes S., Nolan J., Jones A., Holmes A.",14777274,"Clinical Governance",10, 1,1,0,1,1,0,2
2005,"Charging failed asylum seekers for health care in the UK","Hargreaves S., Holmes A., Friedland J.S.",01406736,"Lancet",365, 9461,4,2,3,5,1,10
2004,"Multidisciplinary hospital antibiotic stewardship: A West London model","Cooke F.J., Franklin B.D., Lawson W., Jacklin A., Holmes A.",14777274,"Clinical Governance",9, 4,1,0,1,1,0,2
2004,"Psychosocial stages and the accessibility of autobiographical memories across the life cycle","Conway M.A., Holmes A.",00223506,"Journal of Personality",72, 3,11,6,4,10,3,24
2004,"Tuberculosis.","Garner P., Holmes A., Ziganshina L.",14623846,"Clinical evidence",, 11,1,0,0,0,0,1
2004,"What happens next? The predictability of natural behaviour viewed through CCTV cameras","Troscianko T., Holmes A., Stillman J., Mirmehdi M., Wright D., Wilson A.",03010066,"Perception",33, 1,2,1,6,7,1,10
2004,"Methicillin-resistant Staphylococcus aureus in orthopaedic surgery","Tai C.C., Nirvani A.A., Holmes A., Hughes S.P.F.",03412695,"International Orthopaedics",28, 1,10,0,4,4,2,16
2003,"The United Kingdom's experience of providing health care for refugees: Time for international standards?","Hargreaves S., Holmes A., Friedland J.S.",11951982,"Journal of Travel Medicine",10, 2,2,0,0,0,1,3
2003,"Multidisciplinary antimicrobial management and the role of the infectious diseases pharmacist - A UK perspective","Knox K., Lawson W., Dean B., Holmes A.",01956701,"Journal of Hospital Infection",53, 2,16,5,1,6,3,25
2003,"Immunity to hepatitis A in people born and raised in endemic areas","Barnett E.D., Holmes A.H., Geltman P., Phillips S.L., Harrison T.S.",11951982,"Journal of Travel Medicine",10, 1,6,0,1,1,0,7
2002,"Tuberculosis.","Garner P., Holmes A.",14623846,"Clinical evidence",, 8,0,1,0,1,0,1
2002,"Mycobacterium tuberculosis infection complicated by Eales disease with peripheral neuropathy.","McCaughan F., Holmes A., Lynn W.A., Friedland J.S.",15376591,"Clinical infectious diseases : an official publication of the Infectious Diseases Society of America",35, 8,1,0,0,0,0,1
2002,"Tuberculosis.","Garner P., Holmes A.",14623846,"Clinical evidence",, 7,0,0,0,0,0,0
2002,"Regulation of antimicrobial prescribing practices - A strategy for controlling nosocomial antimicrobial resistance","Knox K.L., Holmes A.H.",12019712,"International Journal of Infectious Diseases",6, 1,8,0,1,1,0,9
2002,"Nosocomial endocarditis caused by Corynebacterium amycolatum and other nondiphtheriae corynebacteria","Knox K.L., Holmes A.H.",10806040,"Emerging Infectious Diseases",8, 1,8,3,2,5,3,16
2002,"The use of serial point-prevalence studies to investigate hospital anti-infective prescribing","Dean B., Lawson W., Jacklin A., Rogers T., Azadian B., Holmes A.",09617671,"International Journal of Pharmacy Practice",10, 2,5,2,0,2,1,8
2001,"Europe's health-care lottery","Hargreaves S., Holmes A., Friedland J.S.",01406736,"Lancet",357, 9266,2,0,1,1,0,3
2001,"Email health support service is already operating in Africa [10]","Cooke F.J., Holmes A.",09598146,"British Medical Journal",322, 7277,1,0,0,0,0,1
2001,"Use of citation analysis to predict the outcome of the 2001 Research Assessment Exercise for Unit of Assessment (UoA) 61: Library and information management","Holmes A., Oppenheim C.",13681613,"Information Research",6, 2,15,2,3,5,2,22
2000,"E-mail consultations in international health","Cooke F.J., Holmes A.",01406736,"Lancet",356, 9224,9,0,1,1,1,11
1999,"Generation Identity and the Reminiscence Bump: Memory for Public and Private Events","Holmes A., Conway M.A.",10680667,"Journal of Adult Development",6, 1,18,1,4,5,3,26
