,"Author: Levicar, Dr Natasa",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 16 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,103,35,46,81,30,214
2008,Autologous infusion of expanded mobilized adult bone marrow-derived CD34+ cells into patients with alcoholic liver cirrhosis,"Pai M., Jestice K., Glibetic M., Bansi D., Khan S.A., Kyriakou D., Rountas C., Thillainayagam A., Nicholls J.P., Jensen S., Apperley J.F., Zacharoulis D., Gordon M.Y., Habib N.A., Milicevic M.N., Helmy S., Jiao L.R., Levicar N., Tait P., Scott M., Marley S.B.",29270,American Journal of Gastroenterology,103,8,0,0,0,0,4,4
2008,Minimally invasive and selective hydrodynamic gene therapy of liver segments in the pig and human,"Khorsandi S.E., Al-Waracky M., Salama H., Jiao L., Nicholls J., Davies A.J., Levicar N., Jensen S., Habib N., Bachellier P., Weber J.C., Greget M., Jaeck D., Zacharoulis D., Rountas C., Helmy S., Helmy A.",9291903,Cancer Gene Therapy,15,4,0,0,3,3,4,7
2008,High frequency of fetal cells within a primitive stem cell population in maternal blood.,"Mikhail M.A., Gordon M.Y., M'Hamdi H., Welsh J., Levicar N., Marley S.B., Nicholls J.P., Habib N.A., Louis L.S., Fisk N.M.",14602350,"Human reproduction (Oxford, England)",23,4,0,0,1,1,3,4
2008,Long-term clinical results of autologous infusion of mobilized adult bone marrow derived CD34+ cells in patients with chronic liver disease,"Levicar N., Jensen S.L., Nicholls J.P., Apperley J.F., Gordon M.Y., Pai M., Habib N.A., Tait P., Jiao L.R., Marley S.B., Davis J., Dazzi F., Smadja C.",9607722,Cell Proliferation,41,1,0,0,2,2,2,4
2007,Stem cells as a treatment for chronic liver disease and diabetes.,"Levicar N., Dimarakis I., Flores C., Tracey J., Gordon M.Y., Habib N.A.",1712004,Handbook of experimental pharmacology,,180,0,1,1,2,0,2
2006,"In vitro stem cell differentiation into cardiomyocytes. Part 2: Chemicals, extracellular matrix, physical stimuli and coculture assays","Dimarakis I., Levicar N., Nihoyannopoulos P., Gordon M.Y., Habib N.A.",15740668,Journal of Cardiothoracic-Renal Research,1,2,0,0,0,0,0,0
2006,In vitro stem cell differentiation into cardiomyocytes. Part 1. Culture medium and growth factors,"Dimarakis I., Levicar N., Nihoyannopoulos P., Habib N.A., Gordon M.Y.",15740668,Journal of Cardiothoracic-Renal Research,1,2,0,0,0,0,0,0
2006,Characterization and clinical application of human CD34+ stem/progenitor cell populations mobilized into the blood by granulocyte colony-stimulating factor,"Gordon M.Y., Marley S.B., Davies J., Dazzi F., Marelli-Berg F., Tait P., Playford R., Jiao L., Jensen S., Nicholls J.P., Ayav A., Levicar N., Nohandani M., Farzaneh F., Gaken J., Dodge R., Alison M., Apperley J.F., Lechler R., Habib N.A., Pai M., Bachellier P., Dimarakis I., Al-Allaf F., M'Hamdi H., Thalji T., Welsh J.P.",10665099,Stem Cells,24,7,1,13,23,36,4,41
2006,Cell culture medium composition and translational adult bone marrow-derived stem cell research,"Dimarakis I., Levicar N.",10665099,Stem Cells,24,5,1,5,3,8,0,9
2003,Erratum: Proteases in Brain Tumour Progression (Acta Neurochirurgica (2003) 145 (825-838)),"Levicar N., Nutall R.K., Lah T.T.",16268,Acta Neurochirurgica,145,11,0,0,0,0,0,0
2003,Proteases in brain tumour progression,"Levicar N., Nutall R.K., Lah T.T.",16268,Acta Neurochirurgica,145,9,24,6,7,13,3,40
2003,Selective suppression of cathepsin L by antisense cDNA impairs human brain tumor cell invasion in vitro and promotes apoptosis,"Levicar N., Dewey R.A., Daley E., Bates T.E., Davies D., Kos J., Pilkington G.J., Lah T.T.",9291903,Cancer Gene Therapy,10,2,25,3,1,4,4,33
2002,"Comparison of potential biological markers cathepsin B, cathepsin L, stefin A and stefin B with urokinase and plasminogen activator inhibitor-1 and clinicopathological data of breast carcinoma patients","Levicar N., Kos J., Blejec A., Golouh R., Vrhovec I., Frkovic-Grazio S., Lah T.T.",0361090X,Cancer Detection and Prevention,26,1,19,3,3,6,3,28
2002,In vitro invasion of transfected human breast epithelial cells MCF10A-neoT,"Sever N., Levicar N., Zajc I., Bervar A., Lah T.T.",13182099,Radiology and Oncology,36,2,0,0,0,0,0,0
2002,"Lysosomal enzymes, cathepsins in brain tumour invasion","Levicar N., Strojnik T., Kos J., Dewey R.A., Pilkington G.J., Lah T.T.",0167594X,Journal of Neuro-Oncology,58,1,21,3,2,5,2,28
2000,Clinical and experimental studies of cysteine cathepsins and their inhibitors in human brain tumors,"Lah T.T., Strojnik T., Levicar N., Bervar A., Zajc I., Pilkington G., Kos J.",3936155,International Journal of Biological Markers,15,1,12,1,0,1,1,14
