,"Author: Wojciak-Stothard, Beata",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 11 (Of the 18 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,761,168,162,330,132,1223
2009,"Modulation of racl activity by ADMA/DDAH regulates pulmonary endothelial barrier function","Wojciak-Stothard B., Torondel B., Zhao L., Renne T., Leiper J.M.",10591524,"Molecular Biology of the Cell",20, 1,0,0,0,0,1,1
2008,"Rho GTPases and Hypoxia in Pulmonary Vascular Endothelial Cells","Wojciak-Stothard B., Leiper J.",00766879,"Methods in Enzymology",439, ,0,0,0,0,1,1
2008,"New drug targets for pulmonary hypertension: Rho GTPases in pulmonary vascular remodelling","Wojciak-Stothard B.",00325473,"Postgraduate Medical Journal",84, 993,0,0,0,0,0,0
2007,"Regulation of endothelial barrier function during flow-induced conversion to an arterial phenotype","Seebach J., Donnert G., Kronstein R., Werth S., Wojciak-Stothard B., Falzarano D., Mrowietz C., Hell S.W., Schnittler H.-J.",00086363,"Cardiovascular Research",75, 3,0,0,3,3,0,3
2007,"Erratum: The ADMA/DDAH pathway is a critical regulator of endothelial cell motility (Journl of Cell Science vol. 120 (929-942))","Wojciak-Stothard B., Torondel B., Tsang L.Y.F., Fleming I., Fisslthaler B., Leiper J.M., Vallance P.",00219533,"Journal of Cell Science",120, 8,0,0,0,0,0,0
2007,"The ADMA/DDAH pathway is a critical regulator of endothelial cell motility","Wojciak-Stothard B., Torondel B., Fen Tsang L.Y., Fleming I., Fisslthaler B., Leiper J.M., Vallance P.",00219533,"Journal of Cell Science",120, 6,0,3,5,8,6,14
2007,"Disruption of methylarginine metabolism impairs vascular homeostasis","Leiper J., Selwood D., Smith C., Wojciak-Stothard B., Rudiger A., Stidwill R., McDonald N.Q., Vallance P., Nandi M., Torondel B., Murray-Rust J., Malaki M., O'Hara B., Rossiter S., Anthony S., Madhani M.",10788956,"Nature Medicine",13, 2,0,20,25,45,16,61
2006,"Rac1 and RhoA as regulators of endothelial phenotype and barrier function in hypoxia-induced neonatal pulmonary hypertension","Wojciak-Stothard B., Tsang L.Y.F., Paleolog E., Hall S.M., Haworth S.G.",10400605,"American Journal of Physiology - Lung Cellular and Molecular Physiology",290, 6,2,5,8,13,8,23
2006,"Perinatal changes in pulmonary vascular endothelial function","Wojciak-Stothard B., Haworth S.G.",01637258,"Pharmacology and Therapeutics",109, 1-2,3,2,0,2,0,5
2005,"Tyrosine phosphorylation and the small GTPase rac cross-talk in regulation of endothelial barrier function","Seebach J., Madler H.-J., Wojciak-Stothard B., Schnittler H.-J.",03406245,"Thrombosis and Haemostasis",94, 3,1,5,4,9,1,11
2005,"Rac and Rho play opposing roles in the regulation of hypoxia/reoxygenation- induced permeability changes in pulmonary artery endothelial cells","Wojciak-Stothard B., Tsang L.Y.F., Haworth S.G.",10400605,"American Journal of Physiology - Lung Cellular and Molecular Physiology",288, 4,18,12,13,25,11,54
2003,"Shear stress-induced endothelial cell polarization is mediated by Rho and Rac but not Cdc42 or PI 3-kinases","Wojciak-Stothard B., Ridley A.J.",00219525,"Journal of Cell Biology",161, 2,54,17,15,32,8,94
2002,"Rho GTPases and the regulation of endothelial permeability","Wojciak-Stothard B., Ridley A.J.",15371891,"Vascular Pharmacology",39, 4-5,66,22,22,44,21,131
2001,"Rho and Rac but not Cdc42 regulate endothelial cell permeability","Wojciak-Stothard B., Potempa S., Eichholtz T., Ridley A.J.",00219533,"Journal of Cell Science",114, 7,115,21,28,49,12,176
1999,"Monocyte adhesion and spreading on human endothelial cells is dependent on Rho-regulated receptor clustering","Wojciak-Stothard B., Williams L., Ridley A.J.",00219525,"Journal of Cell Biology",145, 6,118,14,6,20,8,146
1998,"Regulation of TNF-?-induced reorganization of the actin cytoskeleton and cell-cell junctions by Rho, Rac, and Cdc42 in human endothelial cells","Wojciak-Stothard B., Entwistle A., Garg R., Ridley A.J.",00219541,"Journal of Cellular Physiology",176, 1,144,13,10,23,4,171
1997,"Adhesion, orientation, and movement of cells cultured on ultrathin fibronectin fibers","Wojciak-Stothard B., Denver M., Mishra M., Brown R.A.",10712690,"In Vitro Cellular and Developmental Biology - Animal",33, 2,32,2,2,4,2,38
1996,"Guidance and activation of murine macrophages by nanometric scale topography","Wojciak-Stothard B., Curtis A., Monaghan W., Macdonald K., Wilkinson C.",00144827,"Experimental Cell Research",223, 2,100,19,13,32,12,144
1995,"Role of the cytoskeleton in the reaction of fibroblasts to multiple grooved substrata","Wojciak-Stothard B., Curtis A.S.G., Monaghan W., McGrath M., Sommer I., Wilkinson C.D.W.",08861544,"Cell Motility and the Cytoskeleton",31, 2,60,7,5,12,12,84
1995,"Activation of macrophage-like cells by multiple grooved substrata. Topographical control of cell behaviour","Wojciak-Stothard B., Madeja Z., Korohoda W., Curtis A., Wilkinson C.",10656995,"Cell Biology International",19, 6,48,6,3,9,9,66
