Source Title	Print-ISSN
Atencion Farmaceutica	11397357
Atencion Primaria	2126567
Atherosclerosis	219150
Atherosclerosis Supplements	15675688
Athletic Therapy Today	10787895
ATLA abstracts	3062465
ATLA Alternatives to Laboratory Animals	2611929
Atlantic reporter	87502631
Atlas of Hand Clinics	10823131
Atlas of Musculoskeletal Ultrasound Anatomy	
Atlas of the Oral and Maxillofacial Surgery Clinics of North America	10613315
Atlas of the Urologic Clinics of North America	10635777
Atomes	3657515
"Atomkernenergie, Kerntechnik"	1715747
Atompraxis	5718198
Attachment and Human Development	14616734
"Attention, perception & psychophysics"	19433921
AUAA journal : official journal of the American Urological Association Allied	8829594
Audiological Medicine	1651386X
Audiology : official organ of the International Society of Audiology	206091
Audiology and Neuro-Otology	14203030
Audit Trends	13527797
Auris Nasus Larynx	3858146
Australasian annals of medicine	5719283
Australasian Emergency Nursing Journal	15746267
Australasian Journal of Dermatology	48380
Australasian Journal on Ageing	14406381
Australasian Medical Journal	18361935
Australasian Physical and Engineering Sciences in Medicine	1589938
Australasian Psychiatry	10398562
Australasian Radiology	48461
Australia and New Zealand Health Policy	17438462
Australia and New Zealand Journal of Developmental Disabilities	7263864
Australian and New Zealand Journal of Audiology	14434873
Australian and New Zealand Journal of Criminology	48658
Australian and New Zealand Journal of Medicine	48291
Australian and New Zealand Journal of Obstetrics and Gynaecology	48666
Australian and New Zealand Journal of Ophthalmology	8149763
Australian and New Zealand Journal of Psychiatry	48674
Australian and New Zealand Journal of Public Health	13260200
Australian and New Zealand Journal of Surgery	48682
Australian clinical review / Australian Medical Association [and] the Australian Council on Hospital Standards	7263139
Australian College of Midwives Incorporated journal	1031170X
Australian Critical Care	10367314
Australian Dental Journal	450421
Australian Doctor	10397116
Australian Endodontic Journal	13291947
Australian Family Physician	3008495
Australian Health Review	1565788
Australian hospital	3140024
Australian Journal of Audiology	1571532
Australian Journal of Biological Sciences	49417
Australian journal of biotechnology	8193355
Australian Journal of Clinical and Experimental Hypnosis	1560417
Australian Journal of Clinical Hypnotherapy and Hypnosis	8100713
Australian journal of dermatology	3653609
Australian Journal of Developmental Disabilities	1599011
Australian Journal of Emergency Management	13241540
Australian Journal of Experimental Biology and Medical Science	0004945X
Australian Journal of Forensic Sciences	450618
Australian Journal of Hospital Pharmacy	3106810
Australian Journal of Medical Herbalism	10338330
Australian Journal of Medical Science	10381643
Australian Journal of Medical Technology	0312956X
Australian Journal of Mental Retardation	450634
Australian journal of midwifery : professional journal of the Australian College of Midwives Incorporated	14454386
Australian Journal of Otolaryngology	10372105
Australian Journal of Pharmacy	3118002
Australian Journal of Physiotherapy	49514
Australian Journal of Primary Health	14487527
Australian Journal of Public Health	10357319
Australian Journal of Rural Health	10385282
Australian Journal of Science and Medicine in Sport	8136289
Australian journal of scientific research. Ser. B: Biological sciences	0365365X 
Australian journal on ageing	7264240
Australian Life Scientist	14489791
Australian nursing journal (July 1993)	450758
Australian Occupational Therapy Journal	450766
Australian orthodontic journal	5873908
Australian Paediatric Journal	0004993X
Australian Prescriber	3128008
Australian prosthodontic journal / Australian Prosthodontic Society	8190887
Australian Prosthodontic Society bulletin	8164460
Australian Society Of Prosthodontists Bulletin	8168261
Australian Veterinary Journal	50423
Australian Veterinary Practitioner	0310138X
Austrian History Yearbook	6672378
Austrian Journal of Clinical Endocrinology and Metabolism	19987773
Autism Research	19393806
Autoimmunity	8916934
Autoimmunity Highlights	20380305
Autoimmunity Reviews	15689972
Autonomic Neuroscience: Basic and Clinical	15660702
Avances en odontoestomatologia	2131285
Aviakosmicheskaia i ekologicheskaia meditsina = Aerospace and environmental medicine	0233528X
Avian Diseases	52086
Avian Pathology	3079457
Aviation Space and Environmental Medicine	956562
AVSC news (Association for Voluntary Surgical Contraception (U.S.))	12904
"AWHONN lifelines / Association of Women's Health, Obstetric and Neonatal Nurses"	10915923
"AWHONN voice / Association of Women's Health, Obstetric, and Neonatal Nurses (AWHONN)"	10662944
AWHONN's clinical issues in perinatal and women's health nursing	10663614
"Axone (Dartmouth, N.S.)"	8347824
Azerbaijan Medical Journal	52523
Bacteriologia Virusologia Parazitologia Epidemiologia	12203696
Bacteriological Reviews	53678
BAG - Journal of Basic and Applied Genetics	16660390
Bahrain Medical Bulletin	10128298
Bailliere's Best Practice and Research in Clinical Anaesthesiology	15216896
Bailliere's Clinical Anaesthesiology	9503501
Bailliere's Clinical Gastroenterology	9503528
Bailliere's Clinical Haematology	9503536
Bailliere's Clinical Infectious Diseases	10716564
Bailliere's Clinical Neurology	9610421
Bailliere's Clinical Obstetrics and Gynaecology	9503552
Bailliere's Clinical Rheumatology	9503579
"Balance (Alexandria, Va.)"	10946195
Balkan Journal of Medical Genetics	13110160
Balkan Medical Journal	21463123
Bamidgeh	54577
Bangladesh Development Studies	0304095X
"Bangladesh Journal of Dermatology, Venereology and Leprology"	10233903
Bangladesh Journal of Medical Science	16070755
Bangladesh Journal of Obstetrics and Gynecology	10184287
Bangladesh Medical Research Council Bulletin	3779238
Bangladesh Renal Journal	10150889
Bariatric Nursing and Surgical Patient Care	15571459
Basal Ganglia	22105336
Basic and Applied Histochemistry	3917258
Basic and Applied Pathology	17559294
Basic Life Sciences	905542
Basic Research in Cardiology	3008428
"Basic Research in Cardiology, Supplement"	1759418
Baumarkt	3412717
Bedside nurse	57665
Beginnings (American Holistic Nurses' Association)	10712984
Behavior Genetics	18244
Behavioral and Brain Sciences	0140525X
Behavioral Assessment	1915401
Behavioral Healthcare	19317093
Behavioral Healthcare Tomorrow	10638490
Behavioral Interventions	10720847
Behavioral Medicine	8964289
Behavioral Neuropsychiatry	57932
Behavioral Residential Treatment	8845581
Behavioral Sciences and the Law	7353936
Behavioral sleep medicine	15402002
Behaviorism	904155
Behaviour Analysis Letters	1664794
Behaviour Research and Therapy	57967
Behavioural Neurology	9534180
Behavioural Pharmacology	9558810
Behavioural Psychotherapy	1413473
Beijing Da Xue Xue Bao	1671167X
Beitrage zu Infusionstherapie und klinische Ernahrung	3788679
Beitrage zur Infusionstherapie = Contributions to infusion therapy	10116974
Beitrage zur Infusionstherapie und Transfusionsmedizin = Contributions to infusion therapy and transfusion medicine	10232028
Beitrage zur Klinik der Tuberkulose und spezifischen Tuberkulose-Forschung	3660966
Beitrage zur Klinik und Erforschung der Tuberkulose und der Lungenkrankheiten	3009696
Beitrage zur Pathologie	58165
Beitrage zur pathologischen Anatomie und zur allgemeinen Pathologie	3662446
Beitrage zur Silikose-Forschung	3760243
Beitrage zur Silikose-Forschung (Pneumokoniose)	675229
Beitrage zur Tabakforschung International/ Contributions to Tobacco Research	0173783X
Belgisch tijdschrift voor geneeskunde	0366368X
Bender's health care law monthly	10915982
Benefits quarterly	87561263
B-ENT.	1781782X
Bereavement Care	2682621
Berita jururawat	675814
Berliner und Munchener Tierarztliche Wochenschrift	59366
Berufs-Dermatosen	59498
Beschaftigungstherapie und Rehabilitation	0340529X
Best Practice and Research in Clinical Anaesthesiology	17533740
Best Practice and Research in Clinical Endocrinology and Metabolism	1521690X
Best Practice and Research in Clinical Gastroenterology	15216918
Best Practice and Research in Clinical Haematology	15216926
Best Practice and Research in Clinical Obstetrics and Gynaecology	15216934
Best Practice and Research in Clinical Rheumatology	15216942
Best Practice Onkologie	9464565
Best practices and benchmarking in healthcare : a practical journal for clinical and management application	10850635
BETA bulletin of experimental treatments for AIDS : a publication of the San Francisco AIDS foundation	1058708X
Bibliotek for Laeger	61786
Bibliotheca Haematologica	677957
Bibliotheca microbiologica	678058
Bibliotheca nutritio et dieta	678198
Bibliotheca ophthalmologica : supplementa ad ophthalmologica	678090
Bibliotheca paediatrica	0301357X
Bibliotheca Psychiatrica	678147
Bibliotheca psychiatrica et neurologica	0366256X
Bildgebung = Imaging	10125655
"Bing du xue bao = Chinese journal of virology / [bian ji, Bing du xue bao bian ji wei yuan hui]"	10008721
Binocular Vision and Strabismus Quarterly	10886281
Binocular Vision and Strabology Quarterly	21605351
Bio Tribune Magazine	17729416
Biochemia Medica	13300962
Biochemical Medicine and Metabolic Biology	8854505
Biochemische Zeitschrift	3660753
Biochimica et Biophysica Acta - Reviews on Cancer	0304419X
Biocontrol Science	13424815
Biodemography and social biology	
BioDrugs	11738804
Bioelectromagnetics	1978462
Bioengineering and the Skin	2663082
Bioethics	2699702
Bioethics forum	10657274
Biogerontology	13895729
Biographical memoirs of fellows of the Royal Society. Royal Society (Great Britain)	804606
Biographical memoirs. National Academy of Sciences (U. S.)	
Bioimaging	9669051
Bioinorganic Chemistry	63061
Biologia neonatorum. Neo-natal studies	5236525
Biological Research	7169760
Biological Research for Nursing	10998004
Biological Research in Pregnancy and Perinatology	0724438X
Biological Rhythm Research	9291016
Biological Structures and Morphogenesis	9898972
Biological Trace Element Research	1634984
Biologics: Targets and Therapy	11775475
Biologie Cellulaire	3990311
Biologische Medizin	3408671
Biology bulletin of the Academy of Sciences of the USSR	982164
Biology of Blood and Marrow Transplantation	10838791
Biology of Sport	0860021X
Biology of the Cell	2484900
Biology of the Neonate	63126
Biomarker Insights	11772719
Biomarkers	1354750X
Biomarkers in Medicine	17520363
Biomaterials Medical Devices and Artificial Organs	905488
"Biomaterials, Artificial Cells, and Artificial Organs"	8905533
"Biomaterials, Artificial Cells, and Immobilization Biotechnology"	10557172
Biomedica : revista del Instituto Nacional de Salud	1204157
Biomedical and Environmental Sciences	8953988
Biomedical engineering	62898
Bio-Medical Engineering	63398
Biomedical Engineering (New York) (English translation of Meditsinskaya Tekhnika)	258075
Biomedical Ethics	14309858
Biomedical Imaging and Intervention Journal	18235530
"Biomedical papers of the Medical Faculty of the University Palacky, Olomouc, Czechoslovakia"	12138118
Biomedical Research	0970938X
Biomedical Sciences Instrumentation	678856
Biomedical Signal Processing and Control	17468094
Biomedicine	9702067
Biomedicine / [publiee pour l'A.A.I.C.I.G.]	3000893
Biomedicine and Aging Pathology	22105220
Biomedicine Express	3000885
Biomeditsinskaia Khimiia	
Biometrical Journal	3233847
Biometrics	0006341X
Biometrische Zeitschrift	63452
Bioorganic and Medicinal Chemistry	9680896
Biopharmaceutics and Drug Disposition	1422782
Biophotonics International	10818693
Biophysics of Structure and Mechanism	3401057
Biophysik	63517
Biopreservation and Biobanking	19475535
BioPsychoSocial Medicine	17510759
Biorheology	0006355X
Bioscience Hypotheses	17562392
Biosciences Communications	3022781
"Biosecurity and bioterrorism : biodefense strategy, practice, and science"	15387135
BioSocieties	17458552
Biostatistics	14654644
Biotechnic and Histochemistry	10520295
Biotelemetry	3015912
Biotelemetry and Patient Monitoring	0378309X
Biotherapy	9142223
Bipolar Disorders	13985647
Birkhauser Advances in Infectious Diseases	
Birth	7307659
Birth and the family journal	0098860X
Birth Defects Research Part A - Clinical and Molecular Teratology	15420752
Birth Defects Research Part B - Developmental and Reproductive Toxicology	15429733
Birth Defects Research Part C - Embryo Today: Reviews	1542975X
Birth Defects: Original Article Series	5476844
Bitumen Teere Asphalte Peche	0340384X
Biuletyn Historii Sztuki	63967
Biuletyn Instytutu Medycyny Morskiej w Gdansku	204463
"Biuletyn Pa?stwowego Instytutu Medycyny Morskiej i Tropikalnej w Gda?sku. Biulleten' Gosudarstvennogo Instituta morskoi i tropicheskoi meditsiny v Gdan'ske. Bulletin of the State Institute of Marine and Tropical Medicine in Gda?sk, Poland"	2085089
BJOG: An International Journal of Obstetrics and Gynaecology	14700328
BJR supplement / BIR	9612653
BJU International	14644096
"BJU International, Supplement"	14655101
Blood	64971
Blood Cells	3404684
"Blood Cells, Molecules, and Diseases"	10799796
Blood Coagulation and Fibrinolysis	9575235
Blood Pressure	8037051
Blood Pressure Monitoring	13595237
"Blood Pressure, Supplement"	8038023
Blood Purification	2535068
Blood Reviews	0268960X
Blood Transfusion	17232007
Blood Vessels	3036847
Blue Books of Neurology	1877184X
Blue Books of Practical Neurology	18773419
Blut	65242
Blutalkohol	65250
BMC Anesthesiology	14712253
BMC Blood Disorders	14712326
BMC Cancer	14712407
BMC Cardiovascular Disorders	14712261
BMC Clinical Pathology	14726890
BMC Clinical Pharmacology	14726904
BMC Complementary and Alternative Medicine	14726882
BMC Dermatology	14715945
"BMC Ear, Nose and Throat Disorders"	14726815
BMC Emergency Medicine	1471227X
BMC Endocrine Disorders	14726823
BMC Family Practice	14712296
BMC Gastroenterology	1471230X
BMC Genetics	14712156
BMC Geriatrics	14712318
BMC Health Services Research	14726963
BMC Infectious Diseases	14712334
BMC International Health and Human Rights	1472698X
BMC Medical Education	14726920
BMC Medical Ethics	14726939
BMC Medical Genetics	14712350
BMC Medical Genomics	17558794
BMC Medical Imaging	14712342
BMC Medical Informatics and Decision Making	14726947
BMC Medical Physics	17566649
BMC Medical Research Methodology	14712288
BMC Medicine	17417015
BMC Microbiology	14712180
BMC Musculoskeletal Disorders	14712474
BMC Nephrology	14712369
BMC Neurology	14712377
BMC News and Views	14718219
BMC Nuclear Medicine	14712385
BMC Nursing	14726955
BMC Ophthalmology	14712415
BMC Oral Health	14726831
BMC Palliative Care	1472684X
BMC Pediatrics	14712431
BMC Pharmacology	14712210
BMC Physiology	14726793
BMC Pregnancy and Childbirth	14712393
BMC Psychiatry	1471244X
BMC Public Health	14712458
BMC Pulmonary Medicine	14712466
BMC Research Notes	17560500
BMC Surgery	14712482
BMC Urology	14712490
BMC Veterinary Research	17466148
BMC Women's Health	14726874
"BME = Bio medical engineering / henshu, Nihon ME Gakkai"	9137556
BMJ (Clinical research ed.)	9598138
BMJ Open	20446055
"Body, Movement and Dance in Psychotherapy"	17432979
Bolest	12120634
Boletim da Faculdade de Farmacia e Odontologia de Ribeirao Preto	802913
Boletim da Sociedade Portuguesa de Cardiologia	3044750
Boletim do Hospital de Pulido Valente	8708363
Boletim do Instituto de Puericultura	
Boletim do Instituto de Puericultura e Pediatria Martagão Gesteira	803170
Boletin - Colegio de Profesionales de la Enfermeria de Puerto Rico	1456245
Boletin de AELFA	11378174
Boletin de Estudios Medicos y Biologicos	679666
Boletin de historia y antiguedades	66303
Boletin de informacion dental	66311
Boletin de informaciones parasitarias chilenas	3660613
Boletin de la Academia Nacional de la Historia. Academia Nacional de la Historia (Venezuela)	2547325
Boletin de la Asociacion de Demografia Historica	2131145
Boletin de la Asociacion Medica de Puerto Rico	44849
Boletin de la Oficina Sanitaria Panamericana	300632
Boletin de sanidad militar	
"Boletin del Instituto de Estudios Medicos y Biologicos, Universidad Nacional Autonoma de Mexico"	3661695
Boletin Higiene y Epidemiologia	0006629X
Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas	7177917
Boletin Medico del Hospital Infantil de Mexico	5396115
Boletín. Academia Peruana de Cirugía	
Boletin. Sociedad Chilena de Obstetricia y Ginecología	3663140
Boletín. Sociedad de Cirugía del Uruguay	3663159
Bollettino - Lega Italiana contro l'Epilessia	0394560X
Bollettino della Societa Italiana di Biologia Sperimentale	378771
Bollettino della Societa italiana di cardiologia	0037878X
Bollettino di demografia storica	11269510
Bone	87563282
Bone and Mineral	1696009
Bone Marrow Transplantation	2683369
Bordeaux Medical	217867
Bosnian journal of basic medical sciences	15128601
Boston College law review. Boston College. Law School	1616587
Brachytherapy	15384721
Brain and Development	3877604
Brain and Language	0093934X
Brain and nerve = Shinkei kenkyu no shinpo	18816096
Brain Dysfunction	2591278
Brain Imaging and Behavior	19317557
Brain Impairment	14439646
Brain Injury	2699052
Brain Pathology	10156305
Brain Research	68993
Brain Research Reviews	1650173
Brain Stimulation	1935861X 
Brain Structure and Function	18632653
Brain Topography	8960267
Brain Tumor Pathology	14337398
Brain; a journal of neurology	68950
Brandeis law journal	15310183
Bratislavske Lekarske Listy	69248
BRAUWISSENSCHAFT	69337
Brazilian Dental Journal	1036440
Brazilian Journal of Cardiovascular Surgery	1027638
Brazilian Journal of Epilepsy and Clinical Neurophysiology	1049275
Brazilian Journal of Infectious Diseases	14138670
Brazilian Journal of Medical and Biological Research	0100879X
Brazilian Journal of Oral Sciences	16773225
Brazilian Journal of Urology	15176878
Brazilian Journal of Veterinary Research and Animal Science	14139596
Breast	9609776
Breast Cancer	13406868
Breast Cancer Online	14709031
Breast Cancer Research	14655411
Breast Cancer Research and Treatment	1676806
Breast Cancer: Basic and Clinical Research	11782234
Breast Cancer: Targets and Therapy	11791314
Breast Care	16613791
Breast Disease	8886008
Breast Diseases	1043321X
Breast Journal	1075122X
Breastfeeding Medicine	15568253
Breastfeeding review : professional publication of the Nursing Mothers' Association of Australia	7292759
Breathe	18106838
Bridging Eastern and Western Psychiatry	
Brief Treatment and Crisis Intervention	14743310
Briefings in functional genomics	20412657
Briefings in Functional Genomics and Proteomics	14739550
Brigham Young University law review	0360151X 
Britannia (Society for the Promotion of Roman Studies)	0068113X 
British Columbia Medical Journal	70556
British Dental Journal	70610
"British dental nurses' journal (Fleetwood, England : 1994)"	13563807
British Heart Journal	70769
British Homeopathic Journal	70785
British Journal of Addiction	9520481
British Journal of Anaesthesia	70912
British Journal of Audiology	3005364
British Journal of Biomedical Science	9674845
British Journal of Cancer	70920
British Journal of Cardiology	9696113
British Journal of Chiropractic (United Kingdom)	14662108
British Journal of Clinical Governance	14664100
British Journal of Clinical Pharmacology	3065251
"British Journal of Clinical Pharmacology, Supplement"	2643774
British Journal of Clinical Practice	70947
British Journal of Clinical Practice. Supplement	2628767
British Journal of Community Nursing	14624753
British Journal of Criminology	70955
British Journal of Dermatology	70963
"British Journal of Dermatology, Supplement"	0366077X
British Journal of Developmental Disabilities	9697950
British Journal of Diabetes and Vascular Disease	14746514
British Journal of Diseases of the Chest	70971
British Journal of Disorders of Communication	0007098X
British Journal of Experimental Pathology	71021
British Journal of Family Planning	1448625
British Journal of Forensic Practice	14636646
British Journal of General Practice	9601643
British Journal of Haematology	71048
"British Journal of Haematology, Supplement"	9631860
British Journal of Health Care Management	13580574
British Journal of Holistic Medicine	2661330
British Journal of Hospital Medicine	71064
"British journal of hospital medicine (London, England : 2005)"	
British Journal of Industrial Medicine	71072
British Journal of Infection Control	14690446
British Journal of Intensive Care	9617930
British journal of law and society	3063704
British Journal of Learning Disabilities	13544187
British Journal of Medical and Surgical Urology	18759742
British Journal of Medical Economics	9621423
British journal of medical education	71110
British Journal of Medical Practitioners	17578515
British Journal of Medical Psychology	71129
British Journal of Mental Subnormality	0374633X
British Journal of Midwifery	9694900
British Journal of Neurosurgery	2688697
British journal of nursing (Mark Allen Publishing)	9660461
British Journal of Nutrition	71145
British Journal of Obstetrics and Gynaecology	3065456
"British Journal of Obstetrics and Gynaecology, Supplement"	1407686
British Journal of Occupational Therapy	3080226
British Journal of Ophthalmology	71161
British Journal of Oral and Maxillofacial Surgery	2664356
British Journal of Oral Surgery	0007117X
British journal of orthodontics	0301228X
British Journal of Parenteral Therapy	2647494
British journal of perioperative nursing : the journal of the National Association of Theatre Nurses	14671026
British journal of pharmacology and chemotherapy	3660826
British Journal of Plastic Surgery	71226
British Journal of Preventive and Social Medicine	71242
British journal of psychiatric social work	
British Journal of Psychiatry	71250
British Journal of Psychotherapy	2659883
British Journal of Radiology	71285
British Journal of Radiology. Supplement	3068854
British Journal of Rheumatology	
British Journal of Social Medicine	3660842
British Journal of Sports Medicine	3063674
British Journal of Surgery	71323
British Journal of Urology	71331
"British Journal of Urology, Supplement"	13588672
British Journal of Venereal Diseases	0007134X
British Journal on Alcohol and Alcoholism	3091635
British Medical Bulletin	71420
British Medical Journal	9598146
British Review of Bulimia + Anorexia Nervosa	9503005
British Veterinary Journal	71935
Broncho-pneumologie	3953904
Brookings Review	7451253
Brooklyn Law Review	72362
Bruns' Beitrage für klinische Chirurgie	72680
Bruxelles Medical	683027
Buffalo Bulletin	1256726
Bulgarian Journal of Agricultural Science	13100351
Bulgarian Medicine	8619883
Bulletin - American Protestant Hospital Association	30635
Bulletin - Cercle Benelux d'histoire de la pharmacie	0528600X
Bulletin - Cincinnati Dental Society	1900439
Bulletin - N. Z. Society of Periodontology	288705
Bulletin - National Tuberculosis and Respiratory Disease Association	280313
Bulletin - Societe francaise d'histoire des hopitaux	5838517
Bulletin - Tennessee Nurses Association	403342
Bulletin (American Association for the History of Nursing)	8986622
"Bulletin (Eugenics Society (London, England))"	3068471
Bulletin de la Federation des societes de gynecologie et dobstetrique de langue francaise	463515
Bulletin de la Societe Belge d'Ophtalmologie	810746
Bulletin de la Societe de chimie biologique	379042
Bulletin de la Societe de Pathologie Exotique	379085
Bulletin de la Societe de Pathologie Exotique et de ses Filiales	379085
Bulletin de la Societe des Sciences Medicales du Grand-Duche de Luxembourg	379247
Bulletin de la Société d'ophtalmologie de Paris et des	3663485
Bulletin de la Societe Francaise de Cancerologie Privee	7537417
Bulletin de la Societe Francaise de Dermatologie et Syphiligraphie	491071
Bulletin de la Societe internationale de chirurgie	0037945X
Bulletin de la Societe Medicale d'Afrique Noire de Langue Francaise	491101
Bulletin de l'Academie Nationale de Medecine	14079
Bulletin de l'Academie royale de medecine de Belgique	14168
Bulletin de l'Academie veterinaire de France	14192
Bulletin de l'Association des Anatomistes	3766160
Bulletin de l'Association des diplômés de microbiologie de la Faculté de pharmacie de Nancy	45373
Bulletin de l'Association francaise pour l'etude du cancer	45497
Bulletin de l'Association Guillaume Bude	45527
Bulletin de l'Institut national de la sante et de la recherche medicale	5532469
Bulletin de Medecine Legale Urgence Medicale Centre Anti-Poisons	3954374
Bulletin de microscopie appliquée	3664872
Bulletin de physio-pathologie respiratoire	0007439X
Bulletin der Schweizerischen Akademie der Medizinischen Wissenschaften	367494
Bulletin des Recherches Agronomiques de Gembloux	4352033
Bulletin des societes d'ophtalmologie de France	811270
Bulletin d'histologie appliquée et de technique microscopique	3664589
Bulletin du Cancer	74551
Bulletin du cancer. Radiotherapie : journal de la Societe francaise du cancer : organe de la societe francaise de radiotherapie oncologique	9244212
Bulletin du Groupement international pour la recherche scientifique en stomatologie	5333288
Bulletin du Groupement international pour la recherche scientifique en stomatologie & odontologie	2504693
Bulletin Epidemiologique Hebdomadaire	2457466
Bulletin et Memoires de l'Academie Royale de Medecine de Belgique	3778231
Bulletin from SADRAC	2810999
"Bulletin international des services de sante des armees de terre, de mer et de l'air"	3660680
Bulletin of anesthesia history	15228649
Bulletin of Clinical Neurosciences	7363583
Bulletin of gastrointestinal endoscopy	10517472
Bulletin of Gulhane Military Medical Academy	13000543
Bulletin of Hunan Medical College	2533170
Bulletin of Hunan Medical University	10005625
Bulletin of medical ethics	9629564
Bulletin of National Institute of Health Sciences	13434292
Bulletin of the American Academy of Psychiatry and the Law	0091634X
Bulletin of the American College of Nurse-Midwifery	983721
Bulletin of the American College of Nurse-Midwives	28002
Bulletin of the American College of Surgeons	28045
Bulletin of the British Psychological Society	71692
Bulletin of the European Association of Fish Pathologists	1080288
Bulletin of the history of dentistry	75132
Bulletin of the History of Medicine	75140
Bulletin of the Indian Institute of History of Medicine (Hyderabad)	3049558
Bulletin of the Institute of Historical Research	419761
Bulletin of the Institute of Maritime and Tropical Medicine in Gdynia	3248542
Bulletin of the Institute of Medicine (Hyderabad)	3049566
Bulletin of the International Union against Tuberculosis	749249
Bulletin of the International Union Against Tuberculosis and Lung Disease	1011789X
Bulletin of the Los Angeles neurological societies	0024659X
Bulletin of the Los Angeles Neurological Society	10405925
Bulletin of the Medical Library Association	257338
Bulletin of the Menninger Clinic	259284
Bulletin of the New York Academy of Medicine: Journal of Urban Health	287091
Bulletin of the NYU Hospital for Joint Diseases	19369719
Bulletin of the Orton Society	4747534
Bulletin of the Osaka Medical College	9162844
Bulletin of the Osaka Medical School	306142
Bulletin of the Pan American Health Organization	854638
Bulletin of the Parenteral Drug Association	482986
Bulletin Of The Park Ridge Center	
Bulletin of the Physical Fitness Research Institute	3899071
Bulletin of the Royal Institute for Inter-Faith Studies	14662361
Bulletin of the Tokyo Medical and Dental University	408921
Bulletin of the University of Minnesota Hospitals and Minnesota Medical	
Bulletin of the Veterinary Institute in Pulawy	424870
Bulletin of the World Health Organization	429686
Bulletin on Narcotics	0007523X
Bulletin on the Rheumatic Diseases	75248
"Bulletin, Postgraduate Institute of Medical Education and Research, Chandigarh"	3022404
Bulletin. American Pharmaceutical Association. Committee on National	970506
Bulletin. American Society of Hospital Pharmacists	997501
Bulletin. Institut national d'hygiëne (France)	3660443
Bulletin. New England Medical Center	
Bulletin. North Carolina Dental Society	
Bulletin. Oklahoma State Dental Association	
Bulletin. Tufts-New England Medical Center	994944
Bulletin. World Medical Association	10471928
Bulletins et Memoires de la Societe d'Anthropologie de Paris	378984
Bulletins et Memoires de la Societe Francaise d'Ophtalmologie	811092
Bulletins et memoires de la Societe medicale des hopitaux de Paris	3661334
Bundesgesundheitsblatt	75914
Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz	14369990
Burns : journal of the International Society for Burn Injuries	3054179
Business & professional ethics journal	2772027
Business and health	7399413
"Business ethics (Oxford, England)"	9628770
Butlleti de la Societat Catalana de Pediatria	0210721X
C.H.A.C. review	2265923
CA - A Cancer Journal for Clinicians	79235
"CAB Reviews: Perspectives in Agriculture, Veterinary Science, Nutrition and Natural Resources"	17498848
Cadernos de Saude Publica	0102311X
"Caduceus (Springfield, Ill.)"	8826447
Cahiers d'Anesthesiologie	79685
Cahiers de l'Audition	9803483
Cahiers de Nutrition et de Dietetique	79960
Cahiers de Psychologie Clinique	1370074X
Cahiers de Sociologie et de Demographie Medical	79995
Cahiers d'histoire	0008008X 
Cahiers d'Oncologie	9413804
Cahiers du monde russe et sovietique	80160
Cahiers R. M. F.: bulletin médical-guide du praticien-revue médicale française	9945687
Calcified Tissue International	0171967X
Calcified tissue research	80594
California medicine	81264
Cambridge Quarterly of Healthcare Ethics	9631801
Canada communicable disease report = Releve des maladies transmissibles au Canada	11884169
Canada diseases weekly report	0382232X
Canadian AIDS news	11880325
Canadian Anaesthetists Society Journal	82856
Canadian Association of Radiologists Journal	8465371
Canadian bulletin of medical history = Bulletin canadien dhistoire de la medecine	8232105
Canadian Family Physician	0008350X
Canadian Forces Dental Services quarterly	454850
Canadian HIV/AIDS policy & law review / Canadian HIV/AIDS Legal Network	1496399X
Canadian HIV-AIDS policy & law newsletter / Canadian HIV-AIDS Legal Network = Reseau juridique canadien VIH-SIDA	11955252
Canadian hospital	83798
Canadian Journal of Allergy and Clinical Immunology	1203844X
Canadian Journal of Anaesthesia	0832610X
Canadian Journal of Animal Science	83984
Canadian Journal of Applied Physiology	10667814
Canadian Journal of Applied Sport Sciences	7003978
Canadian Journal of Biochemistry	84018
Canadian Journal of Biochemistry and Cell Biology	7147511
Canadian journal of biochemistry and physiology	5765544
Canadian Journal of Cardiology	0828282X
Canadian journal of cardiovascular nursing = Journal canadien en soins infirmiers cardio-vasculaires	8436096
Canadian Journal of Clinical Pharmacology	1198581X
Canadian Journal of Community Mental Health	7133936
Canadian Journal of Comparative Medicine	84050
Canadian journal of comparative medicine and veterinary science	3165957
Canadian Journal of Criminology	7049722
Canadian Journal of Diabetes	14992671
Canadian Journal of Dietetic Practice and Research	14863847
Canadian Journal of Emergency Medicine	14818035
Canadian Journal of Gastroenterology	8357900
Canadian Journal of Geriatrics	17181879
Canadian Journal of Hospital Pharmacy	84123
Canadian Journal of Human Sexuality	11884517
Canadian Journal of Infectious Diseases	11802332
Canadian Journal of Infectious Diseases and Medical Microbiology	17129532
Canadian journal of medical sciences	3164403
Canadian Journal of Neurological Sciences	3171671
Canadian Journal of Neuroscience Nursing	19137176
Canadian journal of nursing administration	8382948
Canadian journal of nursing leadership	14819643
Canadian Journal of Nursing Research	8445621
Canadian Journal of Occupational Therapy	84174
Canadian Journal of Ophthalmology	84182
Canadian Journal of Physiology and Pharmacology	84212
Canadian Journal of Plastic Surgery	11952199
Canadian Journal of Psychiatry	7067437
Canadian journal of psychology	84255
Canadian Journal of Public Health	84263
